SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,280.0,176.124,-1.4073999999999995,107.22000000000001,4,6,2,1,0,0.5,12,68,-1.4073999999999995
Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,280.0,458.37500000000017,2.233199999999999,197.36999999999998,8,11,3,4,3,0.13636363636363635,33,172,2.233199999999999
COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,COC(=O)Cc1ccc(OC[C@@H]2CO2)cc1,225.0,222.23999999999998,1.1797,48.06,0,4,5,2,1,0.4166666666666667,16,86,1.1797
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,820.0,361.37300000000005,1.5439999999999998,75.00999999999999,1,5,2,4,2,0.4444444444444444,26,138,1.5439999999999998
OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,CN(C)c1ncnc2c1ncn2CC(N)C(=O)O,267.6,250.26199999999997,-0.6957999999999986,110.16000000000001,2,6,4,2,2,0.4,18,96,-0.6957999999999986
OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,NC(Cn1cnc2c(NC3CC3)ncnc21)C(=O)O,266.5,262.27299999999997,-0.18750000000000094,118.95,3,6,5,3,2,0.45454545454545453,19,100,-0.18750000000000094
OC(=O)C(Cn1cnc2c1ncnc2S)N,NC(Cn1cnc2c(S)ncnc21)C(=O)O,321.4,239.26,-0.47310000000000035,106.92,3,6,3,2,2,0.25,16,84,-0.47310000000000035
OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,CN(C)c1nc(N)nc2c1ncn2CC(N)C(=O)O,293.8,265.277,-1.1135999999999986,136.18,3,7,4,2,2,0.4,19,102,-1.1135999999999986
OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,Nc1nc(NC2CC2)c2ncn(CC(N)C(=O)O)c2n1,296.1,277.288,-0.6052999999999993,144.96999999999997,4,7,5,3,2,0.45454545454545453,20,106,-0.6052999999999993
OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,Nc1nc2c(ncn2CC(N)C(=O)O)c(=O)[nH]1,278.0,238.207,-1.8862999999999994,152.91,4,6,3,2,2,0.25,17,90,-1.8862999999999994
