SMI,canonical_smi,lambda_max_exp_nm,HeavyAtomCount,LargestConjugatedSystemSize,TPSA,NumHDonors,NumRotatableBonds,FractionCSP3,MolLogP_clipped,NumDonorGroups,NumAcceptorGroups,HasPushPull
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,280.0,12,7,107.22000000000001,4,2,0.5,-1.4073999999999995,5,1,1
Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,280.0,33,12,197.36999999999998,8,3,0.13636363636363635,2.233199999999999,10,1,1
COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,COC(=O)Cc1ccc(OC[C@@H]2CO2)cc1,225.0,16,7,48.06,0,5,0.4166666666666667,1.1797,3,1,1
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,820.0,26,16,75.00999999999999,1,2,0.4444444444444444,1.5439999999999998,4,2,1
OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,CN(C)c1ncnc2c1ncn2CC(N)C(=O)O,267.6,18,10,110.16000000000001,2,4,0.4,-0.6957999999999986,3,1,1
OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,NC(Cn1cnc2c(NC3CC3)ncnc21)C(=O)O,266.5,19,10,118.95,3,5,0.45454545454545453,-0.18750000000000094,3,1,1
OC(=O)C(Cn1cnc2c1ncnc2S)N,NC(Cn1cnc2c(S)ncnc21)C(=O)O,321.4,16,9,106.92,3,3,0.25,-0.47310000000000035,2,1,1
OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,CN(C)c1nc(N)nc2c1ncn2CC(N)C(=O)O,293.8,19,11,136.18,3,4,0.4,-1.1135999999999986,4,1,1
OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,Nc1nc(NC2CC2)c2ncn(CC(N)C(=O)O)c2n1,296.1,20,11,144.96999999999997,4,5,0.45454545454545453,-0.6052999999999993,4,1,1
OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,Nc1nc2c(ncn2CC(N)C(=O)O)c(=O)[nH]1,278.0,17,11,152.91,4,3,0.25,-1.8862999999999994,3,1,1
OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,Nc1nc(S)c2ncn(CC(N)C(=O)O)c2n1,342.2,17,10,132.94,4,3,0.25,-0.8909000000000002,3,1,1
C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,CC(C)=CCCCC(=O)c1c(O)cc(O)cc1O,240.0,18,11,77.76,3,5,0.35714285714285715,3.1226000000000025,3,1,1
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,38,18,105.09,1,7,0.17857142857142858,4.753320000000003,4,4,1
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,COC(=O)c1sccc1NC(=O)COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,220.0,38,18,112.92999999999999,1,8,0.18518518518518517,4.872720000000005,4,5,1
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,36,18,86.63,1,8,0.17857142857142858,4.702320000000004,2,4,1
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,34,18,77.84,0,6,0.32,3.9613200000000033,3,4,1
c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,C(=Cc1ccc2ccccc2n1)c1ccccc1,800.0,18,18,12.89,0,2,0.0,4.405200000000003,0,0,0
Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,Cc1ccc2ccc(C(=O)NCc3ccccc3)c(O)c2n1,800.0,22,14,62.22,2,3,0.1111111111111111,3.178820000000002,1,1,1
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,257.0,21,6,118.72000000000001,3,7,0.35714285714285715,-0.31109999999999954,3,3,1
