SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,280.0,,
Oc1cc(O)c2c(c1)O[C@@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1cc(O)c(c(c1)O)O,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,280.0,,
COC(=O)Cc1ccc(cc1)OC[C@H]1OC1,COC(=O)Cc1ccc(OC[C@@H]2CO2)cc1,225.0,,
CN1CCN(CC1)c1c(F)cc2c3c1OCC(n3cc(c2=O)C(=O)O)C,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,820.0,,
OC(=O)C(Cn1cnc2c1ncnc2N(C)C)N,CN(C)c1ncnc2c1ncn2CC(N)C(=O)O,267.6,,
OC(=O)C(Cn1cnc2c1ncnc2NC1CC1)N,NC(Cn1cnc2c(NC3CC3)ncnc21)C(=O)O,266.5,,
OC(=O)C(Cn1cnc2c1ncnc2S)N,NC(Cn1cnc2c(S)ncnc21)C(=O)O,321.4,,
OC(=O)C(Cn1cnc2c1nc(N)nc2N(C)C)N,CN(C)c1nc(N)nc2c1ncn2CC(N)C(=O)O,293.8,,
OC(=O)C(Cn1cnc2c1nc(N)nc2NC1CC1)N,Nc1nc(NC2CC2)c2ncn(CC(N)C(=O)O)c2n1,296.1,,
OC(=O)C(Cn1cnc2c1nc(N)[nH]c2=O)N,Nc1nc2c(ncn2CC(N)C(=O)O)c(=O)[nH]1,278.0,,
OC(=O)C(Cn1cnc2c1nc(N)nc2S)N,Nc1nc(S)c2ncn(CC(N)C(=O)O)c2n1,342.2,,
C(CC(=O)c1c(O)cc(cc1O)O)CC=C(C)C,CC(C)=CCCCC(=O)c1c(O)cc(O)cc1O,240.0,,
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccc3c(c1)OCO3)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,,
COc1ccc2c(c1)c(CC(=O)OCC(=O)Nc1ccsc1C(=O)OC)c(n2C(=O)c1ccc(cc1)Cl)C,COC(=O)c1sccc1NC(=O)COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,220.0,,
COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)NCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,,
COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(n2C(=O)c1ccc(cc1)Cl)C,COc1ccc2c(c1)c(CC(=O)OCC(=O)N1CCSCC1)c(C)n2C(=O)c1ccc(Cl)cc1,210.0,,
c1ccc(cc1)C=Cc1ccc2c(n1)cccc2,C(=Cc1ccc2ccccc2n1)c1ccccc1,800.0,,
Cc1ccc2c(n1)c(O)c(cc2)C(=O)NCc1ccccc1,Cc1ccc2ccc(C(=O)NCc3ccccc3)c(O)c2n1,800.0,,
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,257.0,,
OC[C@@H]([C@@H](Cc1ccc(c(c1)OC)O)CO)Cc1ccc(c(c1)OC)O,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,225.0,,
COc1cc(ccc1O)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc(c(c1)OC)O,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,225.0,,
Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,280.0,,
CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,345.0,,
O=CC=C(CCC=C(C)C)C,CC(C)=CCCC(C)=CC=O,245.0,,
OC[C@H]1OC([C@@H]([C@@]1(O)C#C[2H])O)n1cc(O)c(=O)[nH]c1=O,[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(O)c(=O)[nH]c2=O)[C@@H]1O,279.0,,
C(#C[C@]1(O)[C@@H](O)C(O[C@@H]1CO)n1cc(Cl)c(=O)[nH]c1=O)[2H],[2H]C#C[C@@]1(O)[C@@H](CO)OC(n2cc(Cl)c(=O)[nH]c2=O)[C@@H]1O,276.0,,
