canonical_smi,lambda_max_exp_nm,n_solvent_records,mw,LargestConjugatedSystemSize,y_pred,y_std,n_source_rows,wb97_vert1,wb97_vert2,wb97_vert3,wb97_vert4,wb97_vert5,wb97_osc1,wb97_osc2,wb97_osc3,wb97_osc4,wb97_osc5,tddft_nm__lowest_excitation_(S1),tddft_nm__lowest_bright_(f>=0.01),tddft_nm__brightest_in_1-4_eV,tddft_nm__brightest_overall,scaffold_unseen_vs_training
CC(C)(C)c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)cc1,436.0,1,511.6940000000002,34,395.6808922291309,90.49469566784416,1,3.174,4.151,4.325,4.548,4.569,0.864338801,0.173016351,0.022039237,0.380995888,0.358684211,390.6244265910523,390.6244265910523,390.6244265910523,390.6244265910523,True
Nc1ncnc2c1c(C#Cc1ccc3ccccc3c1)cn2C1CC(O)C(CO)O1,317.6,5,400.43800000000016,22,313.6663995249752,121.17488905695232,1,4.162,4.347,4.896,5.084,5.211,1.079650304,0.062489201,0.316514261,0.109846471,0.028609194,297.8957063911581,297.8957063911581,297.8957063911581,297.8957063911581,True
CC1=[O+][B-]2(OC(=O)C(=O)O2)OC(c2c3ccccc3cc3ccccc23)=C1,494.0,2,360.13000000000005,19,460.6092602424919,110.307158397248,1,3.18,3.954,4.064,4.389,4.778,0.320864375,0.019405846,0.011823486,0.001019776,0.14505239,389.8873993710692,389.8873993710692,389.8873993710692,389.8873993710692,True
COc1ccc2c3c(c4ccc(OC)cc4c2c1)C(C)(C)c1ccccc1-3,388.0,1,354.44900000000007,22,395.08139915261495,100.35816071618348,1,3.902,4.12,4.913,5.015,5.128,0.139090426,0.357234672,0.089236178,0.21595123,0.236506891,317.7452409021015,317.7452409021015,317.7452409021015,300.9325072815534,True
C1=Nc2cccc3cccc(c23)N1,330.5,4,168.19899999999998,13,344.63378070310546,96.58237294911618,1,3.743,4.328,4.471,5.395,5.501,0.018705633,0.188071789,0.125435721,0.00224548,0.000233878,331.2428346246327,331.2428346246327,331.2428346246327,286.46994685767095,True
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)N=C2c3ccccc3C(c3ccccc3)=[N+]21,712.0,1,445.2810000000002,31,389.888838736041,113.49355924749204,1,2.257,3.878,3.992,4.177,4.242,1.266516873,0.088214583,0.073857386,0.305562133,0.014836153,549.3318254319894,549.3318254319894,549.3318254319894,549.3318254319894,True
F[B-]1(F)n2c(cc(Cl)c2-c2ccccc2)C(c2ccccc2)=C2C=C(Cl)C(c3ccccc3)=[N+]21,565.3333333333334,3,489.1610000000001,29,405.8100426739812,117.60711862455652,1,2.734,3.978,4.096,4.215,4.624,0.8443375,0.092523779,0.777950048,0.004329836,0.015698053,453.4900987564009,453.4900987564009,453.4900987564009,453.4900987564009,True
CC1(C)c2ccccc2N(c2ccc3c(c2)-c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2P3(=O)c2ccccc2)c2ccccc21,389.0,1,690.8270000000002,38,435.7081146944278,120.915194941302,1,4.028,4.041,4.278,4.287,4.542,0.000419932,1.322e-05,0.002866609,1.4687e-05,0.086063927,307.8058416087389,272.97268383971823,307.8058416087389,272.97268383971823,True
CCC1(CC)c2ccccc2-c2ccc(C#Cc3ccc4ccc5cccc6ccc3c4c56)cc21,402.25,8,446.5930000000002,30,419.8785593194059,100.1052706267202,1,3.457,3.847,4.388,4.652,4.695,1.845307834,0.000225727,0.48038134,0.001042746,0.030936713,358.6467833381545,358.6467833381545,358.6467833381545,358.6467833381545,False
CN(C)c1cc(-c2ccc(C#Cc3cc[n+](C)cc3)cc2)cc2ccccc12,366.0,1,363.484,25,404.05734117082585,110.43975499645585,1,2.675,3.33,4.028,4.107,4.18,0.87213639,1.199376613,0.000209071,0.131489336,0.100290369,463.4923102803739,463.4923102803739,372.32490390390393,372.32490390390393,True
CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,428.6,5,379.628,19,487.9324908701242,118.5609850419554,1,3.811,4.756,4.826,4.982,5.011,1.689393158,0.00838025,0.011258804,2.6404e-05,0.008667181,325.3324403043821,325.3324403043821,325.3324403043821,325.3324403043821,True
COc1ccc2c3c(c4ccc(OC)cc4c2c1)C1(c2ccccc2-c2ccccc21)c1ccccc1-3,386.0,1,476.57500000000016,22,387.5308294461115,102.07411084130732,1,3.926,4.056,4.731,4.849,4.995,0.033064341,0.394048912,0.136794788,0.097145869,0.02855804,315.8028349465104,315.8028349465104,315.8028349465104,305.68094921104534,True
CN1C(=CC2=C([S-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=O)C(C)(C)c2ccccc21,650.0,1,440.61200000000025,24,631.0076189964689,116.05608970892636,1,2.295,2.628,3.51,3.697,3.795,1.243854153,0.078125242,0.007824712,0.717966053,0.018282153,540.2361350762527,540.2361350762527,540.2361350762527,540.2361350762527,False
c1ccc(-c2ccc3c4ccc(-c5ccccc5)c5c(-c6ccccc6)ccc(c6cccc2c63)c54)cc1,473.0,1,480.6100000000002,38,412.4081927263557,87.29688508956329,1,3.052,3.894,4.161,4.238,4.46,1.22233567,0.001149616,0.021478072,0.00116132,0.006692974,406.2391644823067,406.2391644823067,406.2391644823067,406.2391644823067,True
CC(C)(C)c1ccc(-c2nc3c4ccccc4c4ccccc4c3n2-c2ccc(C(C)(C)C)cc2)cc1,314.0833333333333,12,482.6710000000002,29,372.1845622940381,91.77891588739394,1,4.12,4.34,4.706,4.999,5.15,0.320734597,0.431323174,0.339584397,0.043858893,0.09718339,300.9325072815534,300.9325072815534,300.9325072815534,285.67786405529955,False
CCOc1ccc2c(-c3nc(-c4ccccc4)no3)cc(=O)oc2c1,390.0,2,334.3310000000001,23,360.4046519442688,118.9788159596175,1,3.915,4.569,4.669,5.011,5.183,0.319052662,0.031309237,1.7755e-05,0.18728947,0.077061394,316.6901481481482,316.6901481481482,316.6901481481482,316.6901481481482,True
CCN(CC)C(C)=Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2,466.09090909090907,11,342.44200000000006,21,531.6362659019773,106.81438674208717,1,3.295,3.606,4.145,4.558,4.572,0.486770259,0.000382539,0.0003367,0.028650645,0.093623039,376.27979666160854,376.27979666160854,376.27979666160854,376.27979666160854,False
Cc1ccccc1-c1ccccc1C,260.1,1,182.266,12,423.9143769175672,79.49035800853682,1,5.356,5.365,6.205,6.257,6.625,0.000564201,0.00548609,0.033231797,0.008071973,0.009702087,231.4865440627334,199.81336502820307,231.4865440627334,199.81336502820307,False
Cc1c(COC(=O)c2ccc(I)cc2)n2c(OCC(=O)c3ccc(I)cc3)c(C)c(=O)n2c1=O,387.0,1,684.2240000000002,11,318.1824037717973,127.33636431786796,1,4.058,4.158,4.374,4.743,4.797,2.2609e-05,0.272132497,4.0273e-05,0.006110305,0.004196271,305.5302932479054,298.18228234728235,305.5302932479054,298.18228234728235,True
COc1ccc2c(c1)c(C#N)c(C#N)c1cc(OC)ccc12,403.0,1,288.306,20,379.83905508350665,92.17508760341254,1,3.556,4.2,4.916,5.221,5.276,0.109250128,0.164048637,0.006837661,1.566844385,0.021445366,348.6619600674916,348.6619600674916,348.6619600674916,237.47211836812872,False
c1ccc2cc3cc(-c4cc(-c5nccs5)nc(-c5nccs5)c4)ccc3cc2c1,357.5,4,421.55000000000007,30,416.4741921500959,100.90384663260537,1,3.696,3.943,4.193,4.604,4.78,0.11817965,0.004659674,0.291806893,2.010716068,0.216297214,335.4550676406926,335.4550676406926,335.4550676406926,269.2966833188532,True
