canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
CCOc1nc(-c2ccc(Cl)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,330.0
N#Cc1ccc(-c2ccc(F)cc2)nc1,Chloroform,39.1,329.0
CCOc1nc(-c2ccc(F)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,329.0
CCOc1nc(-c2ccc(C)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,332.5
CCOc1nc(-c2ccc(OC)cc2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,311.0
CCOc1nc(-c2cccs2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,331.0
CCOc1nc(-c2ccco2)cc(-c2ccc(N3CCOCC3)cc2)c1C#N,Chloroform,39.1,329.5
CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)Cc1ccccc1-2,Chloroform,39.1,331.0
CCOc1nc2c(c(-c3ccc(N4CCOCC4)cc3)c1C#N)CSc1ccccc1-2,Chloroform,39.1,240.0
N=C(N)c1ccc(OCOc2ccc(C(=N)N)cc2)cc1,Methanol,55.4,650.0
Oc1ccccc1-c1nc2ccccc2s1,Ethanol,51.9,333.0
Fc1ccc2nc(-c3ccccc3OCc3ccccc3)sc2c1,Ethanol,51.9,322.0
CC(Cc1ccccc1)NC(C#N)c1ccccc1,Ethanol,51.9,495.0
Cc1[nH]c2ccccc2c1N=Nc1nncs1,DMSO,45.1,469.0
Cc1c(N=Nc2nncs2)c2ccccc2n1C,DMSO,45.1,441.0
c1ccc(-c2[nH]c3ccccc3c2N=Nc2nncs2)cc1,DMSO,45.1,496.0
Cn1c(-c2ccccc2)c(N=Nc2nncs2)c2ccccc21,DMSO,45.1,452.0
CSc1nnc(N=Nc2c(C)[nH]c3ccccc23)s1,DMSO,45.1,462.0
CSc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,DMSO,45.1,460.0
CSc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,DMSO,45.1,509.0
CSc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,DMSO,45.1,466.0
CN(C)C=O,DMSO,45.1,469.0
CCc1nnc(N=Nc2c(C)n(C)c3ccccc23)s1,DMSO,45.1,442.0
CCc1nnc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)s1,DMSO,45.1,499.0
CCc1nnc(N=Nc2c(-c3ccccc3)n(C)c3ccccc23)s1,DMSO,45.1,450.0
Cc1[nH]c2ccccc2c1N=Nc1n[nH]c(S)n1,DMSO,45.1,388.0
Cc1c(N=Nc2n[nH]c(S)n2)c2ccccc2n1C,DMSO,45.1,402.0
Sc1nc(N=Nc2c(-c3ccccc3)[nH]c3ccccc23)n[nH]1,DMSO,45.1,411.0
